Ref,Label,Description,Translate,MaxChars,English,German,Spanish,French,Italian,Netherland,Danish,Swedish,Chinese,Polish,Japanese,Korean,Portuguese,Slovak,Russian,Hungarian,Bulgarian,Romanian,Czech,Turkish,Finnish,Greek,T-Chinese,Serbian,Slovenian,Thai,Polish UTF8
814,STI_FAILREPEAT,Something failed; do you wish to repeat?,1,16,FAIL: REPEAT?,FEHLER:WIEDERH,FALLO:REPETIR?,ERREUR:REPET?,FALLITO:RIPETE,FOUT: OPNIEUW?,FEJL: GENTAG,FEL:REPETERA?,失败:是否重复?,BLD!POWTORZYC?,故障:繰返,장애:계속?,FALHA: REPETE?,CHYBA: OPAKOV?,ОШИБ.:ПОВТОР?,HIBA: ISMÉT?,,EROARE:REPET.?,CHYBA OPAKOVA?,HATA: YENİDEN?,VIKA:TOISTA?,ΣΦΑΛΜΑ:ΕΠΑΝΑΛ?,,GREŠ-PONOVI?,NAPAKA:PONOVI?,??????,BLD!POWTORZYC?
815,STI_ACCEPT,Accept something,1,10,ACCEPT,BEST�TIGEN,ACEPTAR,ACCEPTER,ACCETTA,ACCEPTEREN,ACCEPTER,ACCEPTERA,接受,OK,承認する,승인,ACEITAR,AKCEPTUJ,ПРИНЯТЬ,ELFOGAD,,ACCEPTARE,PŘEVZÍT,ONAYLA,HYVÄKSY,ΑΠΟΔΟΧΗ,,PRIHVTI,POTRDI,??????,OK
816,STI_TEMP_200C,Temperature is greater than 200ÂºC,1,13,TEMP > 200�C,TEMP > 200 C,TEMP > 200 C,TEMP >200�C,TEMP > 200 �C,TEMP > 200�C,TEMP > 200C,TEMP >200�C,温度>200ºC,TEMP > 200 C,温度>200C,온도>200°C,TEMP . 200�C,TEPL > 200C,ТЕМП.>200ºC,HÖM> 200ºC,,TEMP>200°C,TEPL. > 200°C,SIC > 200ºC,T > 200ºC,ΘΕΡΜ. > 200ºC,,TEMP > 200 C,TEMP > 200 C,??????,TEMP > 200 C
817,STI_ADC_FAIL,The analog to digital converter has failed,1,14,ADC FAIL,ADC FEHLER,FALLA CONV A/D,ERREUR ADC,ADC FALLITO,ADC FOUT,ADC FEJL,FEL ADC,A/D转换失败,BLAD ACD,ADCの不具合,ADC장애,FALHA ADC,ADC CHYBA,ОШИБКА АЦП,A/D HIBA,,EROARE ADC,CHYBA A/D PŘEV,ADC HATASI,ADC VIKA,ΣΦΑΛΜΑ ADC,,ADC GREŠKA,ADC NAPAKA,??????,BLAD ACD
818,STI_FLASH_FAIL,The flash memory has failed,1,15,FLASH FAIL,FLASH-FEHLER,FALLA FLASH,DEFAUT FLASH,FLASH FALLITO,FLASH FOUT,FLASH FEJL,FEL BLIXT,存储失败,BLAD LAMPY,FLASHの不具合,플래시 장애,FALHA FLASH,CHYBA FLASH,ОШИБКА  ФЛЭШ,FLASH HIBA,,EROARE NEPREV,CHYBA PAMĚTI,FLASH HATASI,FLASH VIKA,ΣΦΑΛΜΑ ΜΝΗΜΗΣ,,FLEŠ-GREŠKA,NAP SPOMINA,??????,BLAD LAMPY
819,STI_0_01,The number 0.01,1,4,0.01,0.01,0.01,"0,01","0,01",0.01,"0,01","0,01",0.01,"0,01",0.01,0.01,0.01,0.01,0.01,0.01,,"0,01","0,01","0,01",0.01,0.01,,"0,01",0.01,??????,"0,01"
820,STI_0_10,The number 0.10,1,4,0.1,0.1,0.1,"0,10","0,10",0.1,"0,10","0,10",0.1,"0,10",0.1,0.1,0.1,0.1,0.1,0.1,,"0,10","0,10",0.1,0.1,0.1,,"0,10",0.1,??????,"0,10"
821,STI_FREQ_REJECT,Reject a certain frequency from signal,1,15,FREQ REJECT,FREQUENZFEHLER,FREQ RECHAZO,FREQUENCE,FREQ RIFIUTATA,FREQ AFWIJZEN,FREKVENS FEJL,OFTA F�RKASTAD,频率抑制,BLEDNA CZEST.,周波数の不良,주파수 거부,REJ FREQ,ODMIETN. FREK,ЧАСТ. ОТКЛОН.,FREKV NULLÁZ,,FRECV RESPINSA,CHYBA FREKVENC,FREKANS ÇIKART,HYLKÄÄ TAAJ,ΡΥΘΜ.ΣΥΧΝΟΤ.,,ODBACI FREKV.,ODSTR FREKVC,??????,BLEDNA CZEST.
822,STI_MEAS_OVERRANGE,Signal too large; measurement inaccurate,1,16,MEAS OVERRANGE,�BER MESSBER.,MED SOBRERANGO,MES HORS ECH,MIS SOPRARANGE,BUITEN BEREIK,UDE AF M�LEOMR,�VER M�TOMR�DE,测量超出范围,POM. POZA ZAKR,測定の範囲外,측정 범위 초과,SOBREFAIXA,NAD ROZSAH,ВЫХОД ЗА ДИАП.,ROSSZ MÉRÉS,,MEDII DEPSITE,PŘEKROČEN ROZS,ARALIKDIŞI ÖLÇ,YLI ALUEEN,ΕΚΤΟΣ ΠΕΡ.ΜΕΤΡ,,PREVEL. SIGN.,MERIT IZ OBMOČ,??????,POM. POZA ZAKR
823,STI_TEMP_OHMS,Resistance in ohms of temperature sensor,1,14,TEMP OHMS,TEMP. OHM,TEMP OHMIOS,OHMS TEMP,TEMP OHM,TEMP OHMS,TEMP OHM,TEMP OHM,温度欧姆,TEMP.  (OMOW),温度の抵抗,저항(오옴),OHMS TEMP.,TEPL OHMS,СОПР.ДАТЧ.ОМ,OHM HÖM,,TEMP OHMI,TEPLOTA Ω,SICAKLIK (OHM),T OHM,ΘΕΡΜ. OHM,,OMI TEMP.SENZ.,TEMP OHM,??????,TEMP.  (OMOW)
824,STI_USER_TABLE,User specified compensation table,1,15,USER TABLE,ANWENDERTAB.,TABLA  USUARIO,TABLE UTIL,TAB UTENTE,GEBR.TABEL,BRUGERTABEL,ANV�NDAR TABEL,用户表格,TABEL UZYTKOW.,ユーザテーブル,사용자 테이블,TABELA USU�RIO,UŽIV TABULKA,ПОЛЬЗОВ. ТАБЛ.,FELHASZN TÁBL,,TABEL UTILIZ.,UŽIV. TABULKA,KULLANICI TABL,KÄYTT TAUL,ΠΙΝΑΚ.ΧΕΙΡΙΣ.,,KOMP.TABELA,UPORAB TABELA,??????,TABEL UZYTKOW.
825,STI_EDIT,Edit something,1,9,EDIT,�NDERN,EDITAR,MODIF,STAMPA,WIJZIG,REDIGER,ANGE,编辑,EDYTUJ,編集,수정,EDITAR,ZADAJ,РЕД.,SZERK,,EDITARE,ZMĚNIT,DÜZENLE,MUUTA,ΠΡΟΣΘ.,,UPIŠI,SPREMENI,??????,EDYTUJ
826,STI_SENS_INTERVAL,Sensor data logging interval,1,15,SENS INTERVAL,SENS INTERVALL,INTERV. SENSOR,INTERVAL SONDE,SEN/INTERVAL,SENSORINTERVAL,SENS.INTERVAL,GIVARE INTERV.,传感器间隔,INTERWAL SONDY,センシング間隔,센서 기록 간격,INTERV SENSOR,INTERV SENZ,ИНТ. ДАТЧ.,SZENZ INTERV,,INTRVAL SENZOR,INTERVAL SNÍMA,SENSÖR ARALIĞI,ANT LOG VÄLI,ΔΙΑΣΤ.ΑΙΣΘΗΤ.,,SENZ INTERVAL,INTERVAL SENZ,??????,INTERWAL SONDY
827,STI_TEMP_SENSOR,Temperature sensor type,1,14,TEMP SENSOR,TEMP-SENSOR,SENSOR TEMP,TEMP CAPTEUR,TEMP SENSORE,TEMP SONDE,TEMP.SENSOR,TEMP GIVARE,温度传感器,TEMP. CZUJN.,温度センサ,온도 센서,SENSOR TEMP.,TEPL SENZ,ДАТЧИК ТЕМП.,HÖM ÉRZÉKELÖ,,TEMP SENZOR,TEPLOT. SNÍMAČ,SIC SENSÖRÜ,T ANTURI,ΘΕΡΜ.ΑΙΣΘΗΤ.,,TEMP SENZOR,TEMP SENZ,??????,TEMP. CZUJN.
828,STI_COND_COUNTS,Raw conductivity counts from analog to digital converter,1,15,COND COUNTS,COND-ROHWERT,CONTEOS COND,POINTS COND,COND CONT,COND.TELLINGEN,COND T�LLER,KOND. ANTAL,电导率计数,ZLICZ. PRZEW.,導電率カウント,전도성 카운트,CNT CONDUT,ČÍTAČ VODIVOSŤ,СЧЕТ. ПРОВОД.,VEZKÉP SZÁM,,NUMAR COND,VODIVOST ČÍTAČ,İLET. SAYISI,JOHT LASK,ΜΕΤΡ.ΑΓΩΓ.,,KOND. VREDNOST,KOND ŠTEV,??????,ZLICZ. PRZEW.
829,STI_CELL_K,Measurement cell constant,1,15,CELL K,ZELL-K,K CEL,CONST.,K CELLA,CELCONST.,CWLLW K,CELLK,电极常数K,STALA,セル定数K,측정 셀 상수,C�LULA K,KONŠT CELY,КОНСТ. ЯЧЕЙКИ,CELLA K,,CELULA K,KONSTANTA CELY,HÜCRE SABİTİ,KENNOVAKIO,ΣΤΑΘΕΡΑ ΚΕΛΙΟΥ,,ĆEL.-K,K CELICE,??????,STALA
830,STI_ZERO_1,Offset correction 1,1,7,ZERO 1,NULL 1,CERO 1,ZERO 1,ZERO 1,NUL 1,NUL 1,NOLL 1,零点1,ZERO 1,ゼロ1,제로1,ZERO 1,NULA 1,НОЛЬ 1,NULLA1,,ZERO 1,"""0"" 1",SIFIR1,NOLLA1,ΜΗΔΕΝ1,,NULA 1,NIČL 1,??????,ZERO 1
831,STI_ZERO_2,Offset correction 2,1,7,ZERO 2,NULL 2,CERO 2,ZERO 2,ZERO 2,NUL 2,NUL 2,NOLL 2,零点2,ZERO 2,ゼロ2,제로2,ZERO 2,NULA 2,НОЛЬ 2,NULLA2,,ZERO 2,"""0"" 2",SIFIR2,NOLLA2,ΜΗΔΕΝ2,,NULA 2,NIČL 2,??????,ZERO 2
832,STI_ZERO_3,Offset correction 3,1,7,ZERO 3,NULL 3,CERO 3,ZERO 3,ZERO 3,NUL 3,NUL 3,NOLL 3,零点3,ZERO 3,ゼロ3,제로3,ZERO 3,NULA 3,НОЛЬ 3,NULLA3,,ZERO 3,"""0"" 3",SIFIR3,NOLLA3,ΜΗΔΕΝ3,,NULA 3,NIČL 3,??????,ZERO 3
833,STI_TEMP_CORR,Temperature correction,1,14,TEMP CORR,TEMP KORR,TEMP CORREG,TEMP CORR.,TEMP CORREZ,TEMP CORR.,TEMP KORR,TEMP KORREK,温度补偿,KORYG TEMP,温度補正,온도 보정,CORRE��O TEMP,KOREKCIA TEPL,КОРР. ТЕМПЕР.,HÖ KORR,,COR TEMP,KOREKCE TEPLOT,SIC DÜZELTME,T KORJAUS,ΔΙΟΡΘ.ΘΕΡΜ.,,TEMP KOR.,TEMP KOREKCIJA,??????,KORYG TEMP
834,STI_COND_UNITS,Conductivity units,1,14,COND UNITS,LF EINHEITEN,UNIDADES COND,UNITE COND,UNITA CINDUCIB,COND. EENHEID,COND ENHEDER,KOND. ENHETER,电导率单位,JEDN.PRZEWODN.,導電率単位,전도성 단위,UNID COND,JEDN VODIVOSŤ,ЕДИН.ПРОВОД.,VEZKÉP EGYSÉG,,UNITATI COND,JEDNOTKY VODIV,İLET BİRİMLERİ,JOHT YKS,ΜΟΝΑΔ.ΑΓΩΓΙΜ.,,KOND. JED.,PREVOD ENOTE,??????,JEDN.PRZEWODN.
835,STI_COND_SETUP,Conductivity setup,1,16,COND SETUP,LF SETUP,CONFIG COND,CONFIG COND,SETUP CONDUCIB,COND. SETUP,KOND.OPS�TNING,KOND. SETUP,电导率设置,USTAW PRZEWODN,導電率の設定,전도성 설정,CFG COND,NAST VODIVOSŤ,НАСТР. ПРОВОД.,VEZKÉP BEÁLL,,SETARE COND,NASTAVENÍ,İLET KURULUMU,JOHT ASETUKSET,ΡΥΘΜ.ΑΓΩΓΙΜ.,,KOND. SETUP,PREVOD MENI,??????,USTAW PRZEWODN
836,STI_CALIBRATION,Calibration of sensor,1,14,CALIBRATION,KALIBRATION,CALIBRACION,ETALONNAGE,CALIBRAZIONE,KALIBRATIE,KALIBRERING,KALIBRERING,校准,KALIBRACJA,センサの校正,센서 조정,CALIBRA��O,KALIBRÁCIA,КАЛИБРОВКА,KALIBRÁCIÓ,,CALIBRARE,KALIBRACE,KALİBRASYON,KALIBROINTI,ΒΑΘΜΟΝΟΜΗΣΗ,,KALIBRACIJA,KALIBRACIJA,??????,KALIBRACJA
837,STI_CELL_CONST,Conductivity cell (sensor) constant,1,15,CELL CONST,ZELLENKONST.,CONSTANT CELDA,CONST CELLULE,COST DI CELLA,CEL CONST,CELLEKONSTANT,CELLKONSTANT,电极常数,STALA ELEKTR,セルの定数,셀 상수,CONST C�LULA,KONŠT CELY,КОНСТ. ЯЧЕЙКИ,CELLA ÁLLANDÓ,,CELULE CONST,KONSTANTA CELY,HÜCRE SABİTİ,KENNOVAKIO,ΣΤΑΘΕΡΑ ΚΕΛΙΟΥ,,KONST. ĆELIJE,KONSTAN CELICE,??????,STALA ELEKTR
838,STI_BUILT_IN,Included by design,1,13,BUILT-IN,EINGEBAUT,INTERNAS,INTEGRE,PRODOTTO IL,PLAASTEN,INDBYGGET,INBYGGD,内置,WBUDOWANA,内蔵,기본 제공,INTERNO,ZABUDOVANÁ,ВСТРОЕН.,BEÉPÍTETT,,CONSTRUIT-IN,VLOŽENA,DAHİLİ,SISÄLTYY,ΠΡΟΕΓΚΑΤΕΣΤ.,,UGRAĐENO,VGRAJENO,??????,WBUDOWANA
839,STI_X,DO NOT TRANSLATE.  The x-axis value,0,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,??????,X
840,STI_Y,DO NOT TRANSLATE.  The y-axis value,0,2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,??????,Y
841,STI_CONFIG_TABLE,Configuration table of data,1,14,CONFIG TABLE,KONFIG TABELLE,CONFIG TABLA,TABLE CONFIG,CONFIG TABELLA,CONFIG TABEL,KONFIG TABEL,KONFIG TABELL,配置表,KONIG. TABELE,設定テーブル,구성 테이블,CFG TABELA,KONFIG TABL,КОНФИГ. ТАБЛ.,KONFIG TÁBLA,,CONFIG TABEL,KONF. TABULKA,KONFİG TABLOSU,KONF TAULUKKO,ΠΙΝΑΚΑΣ ΔΙΑΜ.,,KONFIG TABELA,KONFIG TABELA,??????,KONIG. TABELE
842,STI_TO_SAVE,(Do something) in order to save,1,12,TO SAVE,ZUM SPEICHEN,GUARDAR,ENREG,SALVARE,OPSLAAN,GEM,TILL SPARA,存储,ZAPIS,保存するには,저장,P/ SALVAR,ULOŽIT,СОХРАН.,MENTENI,,DE SALVAT,ULOŽIT,KAYDETM İÇİN,TALLENNA,ΓΙΑ ΑΠΟΘΗΚ.,,SAČUVATI,SHRANI,??????,ZAPIS
843,STI_BAD_DATA,Bad data,1,14,BAD DATA!,FALSCHE DATEN,DATO  ERRADO!,ER. DONNEES,DATO ERRATO,ONGELD. DATA!,FEJL DATA!,D�LIGA DATA!,不良数据!,BLEDNE DANE,不良データ,불량 데이터,DADOS RUINS!,CHYBNÉ ÚDAJE,ПЛОХ. ДАН.,ROSSZ ADAT,,DATE INCORECT!,CHYBNÁ DATA,KÖTÜ VERİ!,VÄÄRÄT TIEDOT!,ΛΑΘΟΣ ΔΕΔΟΜ.,,LOŠI PODACI,NEPRAV PODATKI,??????,BLEDNE DANE
844,STI_STORE_TABLE,Save the table of data,1,15,SAVE TABLE,TAB. SICHERN,GUARDAR TABLA,ENREG TABLE,SALVA TABELLA,TABEL OPSLAAN,GEM TABEL,SPARA TABELL,存储表格,ZAPISZ TAB.,テーブルの保存,테이블 저장,SALVA TABELA,ULOŽ TABULKU,СОХРАН. ТАБЛ.,TÁBLÁT MENT,,SALVEAZA TABEL,ULOŽ TABULKU,TABLOYU KAYDET,TALLENNA TAUL,ΑΠΟΘΗΚ.ΠΙΝΑΚΑ,,SAČUVAJ TABELU,SHRANI TABELO,??????,ZAPISZ TAB.
845,STI_QUIT_TABLE,Exit from  the table,1,15,QUIT TABLE,TABELLE VERLAS,CERRAR TABLA,QUITTER TABLE,ABBANDONA TABL,EXIT TABEL,FORLAD TABEL,L�MNA TABELL,退出表格,WYJDZ Z TAB.,テーブルの終了,테이블 종료,FECHA TABELA,OPUSTI TABULKU,ВЫХОД ИЗ ТАБ.,TÁBLÁBÓL KILÉP,,INCHIDE TABEL,ODCHOD Z TABUL,TABLODAN ÇIK,POISTU TAUL,ΕΞΟΔ.ΠΙΝΑΚΑ,,ODUST OD TABEL,IZHOD IZ TABEL,??????,WYJDZ Z TAB.
846,STI_NO_SAVE,Don't save,1,15,NO SAVE?,NICHT SICHERN?,NO GUARDAR?,SANS ENREG ?,NO SALVARE?,NIET OPSLAAN?,IKKE GEM?,INTE SPARA?,不存储?,NIE ZAPISYWAC?,保存しません?,저장하지 않음?,N�O SALVA?,NEUKLADAŤ,НЕ СОХРАНЯТЬ?,NEM MENTI?,,NU SALVATI?,NEUKLÁDAT?,KAYIT YOK MU?,ÄLÄ TALLENNA?,ΌΧΙ ΑΠΟΘΗΚΕΥΣΗ,,NE PAMTI ?,NE SHRANI?,??????,NIE ZAPISYWAC?
847,STI_SENSOR_RANGE,Range of sensor measurements,1,16,SENSOR RANGE,MESSBEREICH,RANGO DEL SENS,GAMME CAPTEUR,INTER SENSORE,BEREIK SNESOR,SENSOR OMR�DE,GIVARE M�TOMR.,传感器范围,ZAKR.POMIAR.,センサ測定範囲,센서 측정 범위,FAIXA SENSOR,ROZS MERANIA,ДИАП. ДАТЧ.,SZENZOR TART.,,DOMENIU SENZOR,MĚŘÍCÍ ROZSAH,SENSÖR ARALIĞI,ANTURIN ALUE,ΕΥΡΟΣ ΜΕΤΡΗΣΗΣ,,OPSEG SENZ.,SENZ OBMOČJE,??????,ZAKR.POMIAR.
848,STI_PARAMETERS,Parameters,1,11,PARAMETERS,PARAMETER,PARAMETROS,PARAMETRES,PARAMETRI,PARAMETERS,PARAMETRE,PARAMETRAR,参数,PARAMETRY,パラメータ,매개변수,PAR�METROS,PARAMETRE,ПАРАМЕТР.,PARAMÉTER,,PARAMETRI,PARAMETRY,PARAMETRE,PARAMETRIT,ΠΑΡΑΜΕΤΡΟΙ,,PARAMETRI,PARAMETRI,??????,PARAMETRY
849,STI_24_hours,24 hours delay,1,10,24 hours,24 STUNDEN,24 horas,24 heures,24 ore,24 uur,24 timer,24 timmar,24小时延迟,24 GODZINY,24時間遅れ,24시간,24 HORAS,24 hodín,24 часа,24 óra,,24 ore,24 hod,24 saat,24 h,24 ΩΡΕΣ,,24 SATA,24 Ur,??????,24 GODZINY
850,STI_AUTOMATIC,Automatic mode,1,14,AUTOMATIC,AUTOMATIK,AUTOM�TICO,AUTOMATIQUE,AUTOMATICA,AUTOMATISCH,AUTOMATISK,AUTOMATISK,自动模式,AUTOMATYCZNE,自動モード,자동,AUTOM�TICO,AUTOMATICKY,АВТОМАТ.,AUTOMATIKUS,,AUTOMAT,AUTOMAT,OTOMATİK,AUTOM,ΑΥΤΟΜΑΤΑ,,AUTOMATIK,AUTOMATSKO,??????,AUTOMATYCZNE
851,STI_CAL_COMPLETE,Calibration complete,1,15,CAL COMPLETE,KAL. BEENDET,CAL COMPLETA,ETAL. TERMINE,CAL COMPLETA,KAL COMPLETE,KAL. UDFRT,KALIB KLAR,已完成校准,KAL. WYKONANA,校正が完了,조정 완료,CAL. COMPLETA,KALIBR KOMPLET,КАЛИБ. ЗАВЕРШ.,KALIBR KÉSZ,,CALIB COMPLETA,KALIBRACE OK,KAL TAMAMLANDI,KAL VALMIS,ΟΛΟΚΛ.ΒΑΘΜΟΝ.,,KAL. KOMPLETNA,KAL KONČANA,??????,KAL. WYKONANA
852,STI_CAL_CONFIG,Calibration configuration,1,14,CAL CONFIG,KAL. KONFIG.,CONFIG CAL,CONFIG ETAL.,CAL CONFIGURA,KAL CONFIG,KAL. KONFIG.,KONFIG KALIB.,校准配置,KONF. KAL.,校正の設定,조정 구성,CONFIG CAL.,KONFIG KALIBR,НАСТР. КАЛ.,KALIBR KONF,,CALIB CONFIG,KONF KALIBRACE,KAL KONFİG,KAL ASETUKSET,ΔΙΑΔΙΚ.ΒΑΘΜΟΝ.,,KAL. KONFIG.,KAL NASTAVITEV,??????,KONF. KAL.
853,STI_CAL_DELAY,Calibration delay,1,15,CAL DELAY,KAL. INTERV.,RETRASA CAL,TEMPS ETAL,RITARDO CALIBR,KAL VERTRAGING,KAL. FORSINKET,KALIB F�RDR�JN,校准延迟,OPOZN. KAL.,校正の遅れ,조정 지연,ATRASO CAL.,ZDRŽ KALIBR,ИНТЕРВ. КАЛИБ.,KALIBR KÉSL,,CAL INTARZIERE,INT. KALIBRACE,KAL GECİKMESİ,KAL VIIVE,ΚΑΘΥΣΤ.ΒΑΘΜΟΝ.,,KAL. INTERV.,KAL INTERVAL,??????,OPOZN. KAL.
854,STI_CAL_TOO_OLD,Calibration too old,1,15,CAL TOO OLD,KAL. ZU ALT,CAL MUY VIEJA,ETAL. ANCIEN,VECCHIA CALIBR,KAL TE OUD,KAL. UDLBET,KAL F�R GAMMAL,校准太旧,KAL. STARA,校正が古すぎる,오래된 조정,CAL. ANTIGA,STARÁ KALIBR,НЕОБХ. КАЛИБР.,RÉGI KALIBR,,CAL EXPIRATA,KAL-CE STARÁ!,KAL ÇOK ESKİ,KAL VANHA,ΠΑΛΙΑ ΒΑΘΜ.,,KAL. STARA,KAL PRESTARA,??????,KAL. STARA
855,STI_CHOICE,Choice,1,9,CHOICE,AUSWAHL,OPCI�N,CHOIX,SCELTA,KIES,VALG,V�LJ,选项,WYBOR,選択,선택,ESCOLHA,VOĽBA,ВЫБОР,VÁLASZT,,ALEGERE,VOLBA,SEÇENEK,VALINTA,ΕΠΙΛ.,,IZBOR,IZBIRA,??????,WYBOR
856,STI_CORR_FACTORS,Correction factors,1,15,CORR. FACTORS,KORR. FAKTOREN,CORR. FACTORES,FACT. CORRECT.,FATTORI CORR,CORR. FACTOR,KORR. FAKTORER,KORR. FAKTORER,校正系数,WSP.  KOREKCJI,補正係数,보정 인수,FATOR CORRE��O,KOREKČN FAKT,ПОПРАВКА,KORR FAKTOR,,COR. FACTORI,KOREKCE,DÜZ. FAKTÖRLER,KORJAUSKERR,ΠΑΡΑΓΩΝ ΔΙΟΡΘ.,,KOR. FAKTORI,KOR FAKTORJI,??????,WSP.  KOREKCJI
857,STI_DIN9,Select DIN pH buffer - DO NOT TRANSLATE,0,7,"4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9","4, 7, 9",??????,"4, 7, 9"
858,STI_DRIVER,Driver version,1,9,DRIVER,TREIBER,Softw ldo,PILOTE,GUIDA,STUURPR.,DRIVER,DRIVRUTIN,驱动程序,STEROWN.,ドライバ,드라이버,CONTROL.,OVLÁDAČ,ДРАЙВЕР,MEGHAJTÓ,,DRIVER,OVLADAČ,SÜRÜCÜ,AJURI,ΟΔΗΓΟΣ,,DRAJV VR,GONILNIK,??????,STEROWN.
859,STI_GLASS,Glass electrode,1,6,GLASS,GLAS,VIDRIO,VERRE,VETRO,GLAS,GLAS,GLAS,玻璃,SZKLO,ガラス,유리,VIDRO,SKLO,СТЕКЛ,ÜVEG,,STICLA,SKLE,CAM,LASI,ΓΥΑΛΙ,,STAKLE,STEKLO,??????,SZKLO
860,STI_GLASS_IMP_HIGH,Glass electrode Impedance too high,1,15,GLASS IMP. HGH,GLAS IMP.HOCH,VIDRIO ALTALMP,IMP VERRE HAUT,IMP.VETRO ALTO,GLAS IMP. HOOG,GLAS IMP. HJ,GLAS IMP. H�G,玻璃电极阻抗高,ZA DUZA IMPED.,超高ガラス抵抗,유리 IMP. 높음,IMPED. ALTA,VYSK IMP ELEKT,СТЕКЛ. ВЫС.,ÜV IMP MAGAS,,STIC IMP.INALT,VYSOKÁ IMPEDAN,CAM EMP. YÜKS,LASI IMP KORK,ΕΙΔ.ΑΝΤ.ΑΙΣ.HI,,IMP.VELIKA,STEKL IMP VISK,??????,ZA DUZA IMPED.
861,STI_GLASS_IMP_LOW,Glass electrode Impedance too low,1,14,GLASS IMP. LOW,GLAS IMP.TIEF,VIDRIO BAJALMP,IMP VERRE BAS,IMP.VETRO BASS,GLAS IMP. LAAG,GLAS IMP. LAV,GLAS IMP. L�G,玻璃电极阻抗低,ZA MALA IMPED.,超低ガラス抵抗,유리 IMP. 낮음,IMPED. BAIXA,NIZK IMP ELEKT,СТЕКЛ. НИЗК.,ÜV IMP ALACS.,,STIC IMP.JOASA,IMP. SKL NÍZKÁ,CAM EMP. DÜŞÜK,LASI IMP ALH,ΕΙΔ.ΑΝΤ.ΑΙΣ.LO,,IMP.MALA,STEKL IMP NIZK,??????,ZA MALA IMPED.
862,STI_HUM_BAG,Abreviation for Humidity bag (dessicant drying bag),1,9,HUM. BAG,TR. BEU.,BOLSA HU,SAC HUM.,UMID BAG,VCHT ZAK,FUGT,TORKP�SE,湿度包,POCH.WIL,乾燥袋,습도 백,DISSEC.,DESIKANT,ОСУШИТ.,NEDV IND,,HUM.BAG,DESIKANT,NEM ÇANT,KOST P,ΑΦΥΓΡΑΝ.,,DESIK.,VLAGA,??????,POCH.WIL
863,STI_HUMIDITY_BAG,Humidity bag (dessicant drying bag),1,15,HUMIDITY BAG,TROCKEN BEUTEL,HUMEDAD BOLSA,SAC DESHUMID.,UMIDITA BAG,VOCHTIGHEIDZAK,FUGT,TORKMED. P�SE,湿度包,POCHL.WILGOCI,乾燥バッグ,습도 백,DISSECANTE,VYMEŇ DESIKANT,ОСУШИТЕЛЬ,NEDV INDIKÁTOR,,UMIDITATE BAG,VYMĚŇ DESIKANT,NEM ÇANTASI,KOST POISTAJA,ΑΦΥΓΡΑΝΤΙΚΟ,,DESIKANT,RAZVLAŽEVALEC,??????,POCHL.WILGOCI
864,STI_IMP_INTERVAL,Select impedance measurement interval,1,15,IMP. INTERVAL,IMP.-INTERVALL,INTERVALO IMP,INTERV. IMP.,IMP. INTERVALL,IMP.INTERVAL,IMP.INTERVAL,IMP. INTERVALL,选阻抗测量间隔,INTERWAL IMP.,抵抗測定間隔,IMP.간격,INT.IMPEDANCIA,INTERVAL IMP,ИНТ. ИМПУЛ.,IMP INTERVAL,,INTERVAL IMP.,ROZSAH IMPEDAN,EMP. ARALIĞI,IMP VÄLI,ΔΙΑΣΤ.ΕΜΠΕΔ.,,INTERVAL IMP.,IMP INTERVAL,??????,INTERWAL IMP.
865,STI_IMP_SETUP,Select impedance measurement (Yes/No),1,15,IMP. SETUP,IMP. EINSTELL.,MONTAR IMP,CONFIG IMP.,IMP. IMPEDENZA,IMP.SETUP,IMP. OPS�TNING,IMP. SETUP,是否选阻抗测量,USTAWIENIA IMP,抵抗の設定,IMP.설정,MED.IMPEDANCIA,NASTAV IMP.,НАСТР. ИМПУЛ.,IMP BEÁLL,,SETARE IMP.,NASTAVENÍ IMPE,EMP. KURULUM,IMP ASETUS,ΡΥΘΜ.ΕΜΠΕΔ.,,PODEŠ. IMP.,IMP NASTAV,??????,USTAWIENIA IMP
866,STI_MAINS_FREQ,Mains power supply frequency,1,14,MAINS FREQ.,NETZ FREQUENZ,FRECUENCIA ENT,FREQ.ALIM.,FREQ. PRINCIP,FREQUENTIE,VEDL. FREKV.,FREKV MATNSP.,主供电频率,GLOWNE CZEST.,主電源の周波数,멘인 주파수,FREQ. REDE,FREKV  SIETE,ОСНОВ. ЧАСТ.,TÁPFESZ FREKV,,FRECV.PRINCIP,FREKVENCE SÍTĚ,AC FREKANSI,TAAJUUS,ΣΥΧΝ.ΡΕΥΜ.,,MREŽ. FREKV.,OMREŽ FREKVEN,??????,GLOWNE CZEST.
